Publication,General Category Name,Award,Entry
The Washington Post,"Infographics: Business/Finance, Technology & Transportation",Award of Excellence,What Bloomberg's $11m Super Bowl ad would cost you on your budget
The Washington Post,"Infographics: Business/Finance, Technology & Transportation",Award of Excellence,How coronavirus grounded the airline industry
The Washington Post,"Infographics: Business/Finance, Technology & Transportation",Award of Excellence,"As states start to reopen, here’s where people are going"
ABC News (Australia),Infographics: Environment & Science,Award of Excellence,When the taps run dry
Bloomberg,Infographics: Environment & Science,Award of Excellence,A Pandemic That Cleared Skies and Halted Cities Isn’t Slowing Global Warming
Bloomberg,Infographics: Environment & Science,Award of Excellence,Time Is Running Out to Save the Last of the World’s Rainforest
Bloomberg,Infographics: Environment & Science,Award of Excellence,Mapping America’s Underwater Real Estate
Bloomberg,Infographics: Environment & Science,Award of Excellence,What A Hotter and Drier World Means for Shared Firefighting
National Geographic,Infographics: Environment & Science,Award of Excellence,"Your Climate, Changed"
National Geographic,Infographics: Environment & Science,Award of Excellence,Mountain Hunters
National Geographic,Infographics: Environment & Science,Award of Excellence,Invasion and Response
ProPublica,Infographics: Environment & Science,Award of Excellence,New Climate Maps Show a Transformed United States
Público,Infographics: Environment & Science,Award of Excellence,Uma cicatriz a céu aberto: como os incêndios devastaram a Austrália
Reuters,Infographics: Environment & Science,Award of Excellence,Shifting smoke
Reuters,Infographics: Environment & Science,Award of Excellence,Amazon gold rush: The threatened tribe
Reuters,Infographics: Environment & Science,Award of Excellence,Swirling smoke: How smoke from Australia's bushfires spread
Reuters,Infographics: Environment & Science,Award of Excellence,"Wild weather, warming planet"
Reuters,Infographics: Environment & Science,Award of Excellence,A devastated West Coast
Reuters,Infographics: Environment & Science,Award of Excellence,China's glaciers in retreat
Reuters,Infographics: Environment & Science,Award of Excellence,Collision course
Reuters,Infographics: Environment & Science,Award of Excellence,How thawing permafrost could fuel climate warming
Reuters,Infographics: Environment & Science,Award of Excellence,Assessing Australia’s “ecological disaster”
South China Morning Post,Infographics: Environment & Science,Award of Excellence,Australian fires: Understanding the intensity and global impact
The New York Times,Infographics: Environment & Science,Award of Excellence,Every Place Under Threat
The New York Times,Infographics: Environment & Science,Award of Excellence,Exploring the Solar System
The Washington Post,Infographics: Environment & Science,Award of Excellence,More than 1 million fires in Australia detected by satellites since September
The Washington Post,Infographics: Environment & Science,Award of Excellence,Empire State of Green
ABC News (Australia),Infographics: Health/Coronavirus,Award of Excellence,Could we cure corona?
Bloomberg,Infographics: Health/Coronavirus,Award of Excellence,Why Acting Fast Is the Key to Beating a Second Wave of Covid-19
Bloomberg,Infographics: Health/Coronavirus,Award of Excellence,Americans’ Commitment to Social Distancing Is Eroding
Bloomberg,Infographics: Health/Coronavirus,Award of Excellence,Covid-19 Vaccine Tracker
CNN,Infographics: Health/Coronavirus,Award of Excellence,CNN 411: Coronavirus information and local resources
La Nación,Infographics: Health/Coronavirus,Award of Excellence,Covid-19: The evolution of the pandemic in Argentina
La Nación,Infographics: Health/Coronavirus,Award of Excellence,"Covid-19 Vaccines, a global hope"
La Nación,Infographics: Health/Coronavirus,Award of Excellence,How SARS-CoV-2 affects the body
Neue Zürcher Zeitung,Infographics: Health/Coronavirus,Award of Excellence,From lockdown to loosening: a timeline of how the coronavirus turned the world upside down
Neue Zürcher Zeitung,Infographics: Health/Coronavirus,Award of Excellence,What is the risk of catching the coronavirus on a plane?
ProPublica,Infographics: Health/Coronavirus,Award of Excellence,What Coronavirus Job Losses Reveal About Racism in America
ProPublica,Infographics: Health/Coronavirus,Award of Excellence,Reopening America
Quartz,Infographics: Health/Coronavirus,Award of Excellence,Coronavirus antibody tests aren’t as accurate as they seem
Reuters,Infographics: Health/Coronavirus,Award of Excellence,A breath of fresh air: How air quality has improved during the coronavirus crisis
Reuters,Infographics: Health/Coronavirus,Award of Excellence,Stopping the spread: Reaching herd immunity through vaccination
Reuters,Infographics: Health/Coronavirus,Award of Excellence,New normal: How far is safe enough?
Reuters,Infographics: Health/Coronavirus,Award of Excellence,Anatomy of Singapore's outbreak
Reuters,Infographics: Health/Coronavirus,Award of Excellence,Why time feels so weird in 2020
Reuters,Infographics: Health/Coronavirus,Award of Excellence,The pace of death
South China Morning Post,Infographics: Health/Coronavirus,Award of Excellence,Decoding Covid-19
South China Morning Post,Infographics: Health/Coronavirus,Award of Excellence,Coronavirus cruise ship: stuck on board the quarantined Diamond Princess
The New York Times,Infographics: Health/Coronavirus,Award of Excellence,Track Coronavirus Cases in Places Important to You
The New York Times,Infographics: Health/Coronavirus,Award of Excellence,Masks Work. Really. We’ll Show You How
The New York Times,Infographics: Health/Coronavirus,Award of Excellence,How the Virus Won
The New York Times,Infographics: Health/Coronavirus,Award of Excellence,How Long Will A Vaccine Really Take?
The New York Times,Infographics: Health/Coronavirus,Award of Excellence,Find Your Place in the Vaccine Line
The Washington Post,Infographics: Health/Coronavirus,Award of Excellence,How epidemics like covid-19 end (and how to end them faster)
The Washington Post,Infographics: Health/Coronavirus,Award of Excellence,How a surge of coronavirus patients could stretch hospital resources in your area
The Washington Post,Infographics: Health/Coronavirus,Award of Excellence,Disease modelers are wary of reopening the country. Here’s how they arrive at their verdict
Toronto Star,Infographics: Health/Coronavirus,Award of Excellence,Testing the limits: How Toronto’s common areas might work when COVID-19 restrictions start to loosen
ABC News (Australia),Infographics: Sports,Award of Excellence,Cathy Freeman’s golden run
ESPN,Infographics: Sports,Award of Excellence,Old QB Scars
ESPN,Infographics: Sports,Award of Excellence,College Football Fan Tracker
Globo,Infographics: Sports,Award of Excellence,Reborn From Hell
Globo,Infographics: Sports,Award of Excellence,Handball or not hadball?
Bloomberg,"Infographics: Arts, Entertainment, Food, Travel & Lifestyle",Award of Excellence,Choose What to Stream to Get Through the Cold Days of Lockdown
Bloomberg,"Infographics: Arts, Entertainment, Food, Travel & Lifestyle",Award of Excellence,Pandemic Travel Patterns Hint at Our Urban Future
The Straits Times,"Infographics: Arts, Entertainment, Food, Travel & Lifestyle",Award of Excellence,The Great Singapore Drive
The Washington Post,"Infographics: Arts, Entertainment, Food, Travel & Lifestyle",Award of Excellence,The battle for Notre Dame
ABC News (Australia),"Inforgraphics: Gender, Identity & Social Issues",Award of Excellence,Rough justice: How police are failing survivors of sexual assault
Bloomberg,"Inforgraphics: Gender, Identity & Social Issues",Award of Excellence,Deadliest Mass Shootings Are Often Preceded by Violence at Home
Bloomberg,"Inforgraphics: Gender, Identity & Social Issues",Award of Excellence,"Coronavirus Reopening: How Race, Wealth Divide New York City"
de Volkskrant,"Inforgraphics: Gender, Identity & Social Issues",Award of Excellence,Born a dime
Metrópoles,"Inforgraphics: Gender, Identity & Social Issues",Award of Excellence,Elas por elas: os números por trás dos feminicídios em 2019 no DF
The Marshall Project,"Inforgraphics: Gender, Identity & Social Issues",Award of Excellence,"Is Violent Crime Rising In Cities Like Trump Says? Well, It’s Complicated."
The New York Times,"Inforgraphics: Gender, Identity & Social Issues",Award of Excellence,How George Floyd Was Killed in Police Custody
The New York Times,"Inforgraphics: Gender, Identity & Social Issues",Award of Excellence,Minneapolis Police Use Force Against Black People at 7 Times the Rate of Whites
The New York Times,Infographics: Protests,Award of Excellence,Bird’s Eye View of Protests Across the U.S. and Around the World
The New York Times,Infographics: Protests,Award of Excellence,N.Y.P.D. Says It Used Restraint During Protests. Here’s What the Videos Show.
The Washington Post,Infographics: Protests,Award of Excellence,Experience the sights and sounds of a historic protest in the nation’s capital
The Washington Post,Infographics: Protests,Award of Excellence,A gallery of pain and protest
"Al Jazeera English, AJ Digital",Format: Use of Original/Commissioned Illustration (single),Award of Excellence,"My Son, The Stranger"
Helsingin Sanomat,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,"Gas station ""Eltsu"" 24 h"
Los Angeles Times,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,Griffith Park Guide
Los Angeles Times,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,Racial reckoning
Newhouse School at Syracuse University,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,How a Chatbot Helped Me Through My Breakup
NJ Advance Media,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,The Hero We Deserve
Northeastern University,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,Chatbot Love
ProPublica,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,How Criminal Cops Often Avoid Jail
Reuters,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,How Turkey’s courts turned on Erdogan's foes
Reuters,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,Inside the Iowa caucuses
South China Morning Post,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,"How Disease X, the epidemic-in-waiting, erupted in China"
South China Morning Post	,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,Coconut harvesters or slaves?
The Dallas Morning News,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,Texan of the year: Melinda Gates
The New York Times,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,"The Difference Between Worry, Stress and Anxiety"
The New York Times,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,How Decades of Racist Housing Policy Left Neighborhoods Sweltering
The New York Times,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,"In Defense of a Good Cry, and Other Options for ‘Losing It’"
The New York Times,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,A Sketch Artist’s View of Trump’s Impeachment Trial
The New York Times,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,End Our National Crisis
The New York Times,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,How Our Reporter Fought ‘Doomscrolling’
The Telegraph,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,Welcome to your Covid-friendly health club
The Telegraph,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,A sunny day in Hiroshima: 75 years of the Atomic Bomb
The Washington Post,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,Living in the shadow of the Bomb
The Washington Post,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,The descent of Trump
WAMU,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,Three Words
Zhejiang Daily Press Group,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,Chinese New Year 2020 | The third day of a lunar month: Friendly relations is a constant greeting.
Zhejiang Daily Press Group,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,Chinese New Year 2020 | Chinese new year's eve: Reunion is a eternal taste.
Zhejiang Daily Press Group,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,Chinese New Year 2020 | The third day of a lunar month: The fifth day of a lunar month: novelty is an unchanging trend.
Zhejiang Daily Press Group,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,Chinese New Year 2020 | The sixth day of a lunar month: Chasing dream is a constant direction.
Zhejiang Daily Press Group,Format: Use of Original/Commissioned Illustration (single),Award of Excellence,Chinese New Year 2020 | Lunar New Year's Day: Welcoming the new is an unchanging tradition.
Arab News,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,"Arabic calligraphy: Ancient craft, modern art"
ESPN,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Year of Black QB Trading Cards
ESPN,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Covid MLB Player
ESPN,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,NFL Coaching Carousel
ESPN,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Bundesliga 101
Gannett,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,ACCUSED: The Mysterious Death of David Bocks
Helsingin Sanomat,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Secret of Supercell
Los Angeles Times,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Art out of Protest
Los Angeles Times,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Wrapping Paper
POLITICO,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,The Children of 9/11 Are About to Vote
POLITIKEN,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Donald & Joe
Reuters,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Protecting those fighting the coronavirus
Reuters,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Vaccine bootcamp
TASS Russian News Agency,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Life after COVID
TASS Russian News Agency,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Dante's circles
The Dallas Morning News,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,What's at stake 2020
The New York Times,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,17 Artists Capture a Surreal New York From Their Windows
The New York Times,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Art In Isolation
The New York Times,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,What Back to School Might Look Like in the Age of Covid-19
The Paper,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Old Hongzhen Street
The Washington Post,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Best Books
The Washington Post,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,The Lily: Comics
The Washington Post,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Gift Guide
The Washington Post,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Indifferent Justice
WHYNOT (Radio Free Asia),Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Me and My Comrades 我和我的同志
Zhejiang Daily Press Group,Format: Use of Original/Commissioned Illustrations (Multiple),Award of Excellence,Chinese New Year 2020丨The second day of a lunar month: Love is always an original aspiration.
de Volkskrant,Format: Use of Video,Award of Excellence,Away from home
DR,Format: Use of Video,Award of Excellence,The Road to The Old Stage
Education Week,Format: Use of Video,Award of Excellence,A Year Interrupted
ESPN,Format: Use of Video,Award of Excellence,DeChambeau's Masters
Helsingin Sanomat,Format: Use of Video,Award of Excellence,Wondefull Belly
Helsingin Sanomat,Format: Use of Video,Award of Excellence,"Social media teaser for the story ""Holy pixel"""
PUBLICSOURCE,Format: Use of Video,Award of Excellence,Pittsburgh in Protest
Reuters,Format: Use of Video,Award of Excellence,Videos of alleged police misconduct went viral. Then what happened?
Reuters,Format: Use of Video,Award of Excellence,Shielded: Supreme Defense
The Boston Globe,Format: Use of Video,Award of Excellence,How COVID-19 spread through Massachusetts
The Boston Globe,Format: Use of Video,Award of Excellence,Blind Spot
The New York Times,Format: Use of Video,Award of Excellence,Election Stress Relief
The New York Times,Format: Use of Video,Award of Excellence,Election Distractor
The New York Times,Format: Use of Video,Award of Excellence,‘It’s Like I’m Floating’: Skating New York Under Lockdown
The New York Times,Format: Use of Video,Award of Excellence,How ICE Helped Spread the Coronavirus
The New York Times,Format: Use of Video,Award of Excellence,Diary of a Song: Tones and I
The New York Times,Format: Use of Video,Award of Excellence,Diary of a Song: Prince’s Artistic Process Was a Mystery. See How He Made ‘Sign o’ the Times.’
The Washington Post,Format: Use of Video,Award of Excellence,Body camera footage shows struggle leading to George Floyd’s fatal police encounter
The Washington Post,Format: Use of Video,Award of Excellence,The pandemic is on the brink of a grim milestone: A death toll of one million
University of Southern California	,Format: Use of Video,Award of Excellence,Dia De Los Muertos
ESPN,Format: Use of Audio in Digital Storytelling/Infographics/Social Media,Award of Excellence,Hype Hits  
Helsingin Sanomat,Format: Use of Audio in Digital Storytelling/Infographics/Social Media,Award of Excellence,Learning to Say R
Helsingin Sanomat,Format: Use of Audio in Digital Storytelling/Infographics/Social Media,Award of Excellence,Noisy Spring
The New York Times,Format: Use of Audio in Digital Storytelling/Infographics/Social Media,Award of Excellence,How the Police Killed Breonna Taylor
The Washington Post,Format: Use of Audio in Digital Storytelling/Infographics/Social Media,Award of Excellence,Mekong
University of Southern California,Format: Use of Audio in Digital Storytelling/Infographics/Social Media,Award of Excellence,Dimelo Spotify
Dagens Nyheter,Format: Use of Photography or Photo Story,Award of Excellence,The end of California as the American Dream? 
DR,Format: Use of Photography or Photo Story,Award of Excellence,Facial tattoos: Greenlands youth is taking back their history 
ESPN,Format: Use of Photography or Photo Story,Award of Excellence,Super Bowl Rings 
ESPN,Format: Use of Photography or Photo Story,Award of Excellence,ESPYs Collection 
La Nación,Format: Use of Photography or Photo Story,Award of Excellence,"In photos: Villa Azul, the southern suburban neighborhood closed to control the coronavirus "
La Nación,Format: Use of Photography or Photo Story,Award of Excellence,"Debate for abortion: a square divided between green and blue, and the same climate of expectation "
La Nación,Format: Use of Photography or Photo Story,Award of Excellence,Posadas Hospital: 24 hours between life and death in an intensive care unit 
Los Angeles Times,Format: Use of Photography or Photo Story,Award of Excellence,Los Angeles Times Archives 
NPR,Format: Use of Photography or Photo Story,Award of Excellence,The Ghost Towns Behind The Gates 
NRC MEDIA,Format: Use of Photography or Photo Story,Award of Excellence,Photo Exhibition - 50 years of photography in NRC 
POLITIKEN,Format: Use of Photography or Photo Story,Award of Excellence,"""It's scary, scary, scary, scary ... """
Ruptly,Format: Use of Photography or Photo Story,Award of Excellence,Dyatlov Group's Journal: The Last Page 
San Francisco Chronicle,Format: Use of Photography or Photo Story,Award of Excellence,The Class of 2020 
Star Tribune,Format: Use of Photography or Photo Story,Award of Excellence,In their finest 
Star Tribune,Format: Use of Photography or Photo Story,Award of Excellence,The new normal 
"The Age, The Sydney Morning Herald",Format: Use of Photography or Photo Story,Award of Excellence,‘Like a bad dream’: Bilpin’s day of reckoning 
The Globe and Mail,Format: Use of Photography or Photo Story,Award of Excellence,The Frozen Front Line 
The Intercept,Format: Use of Photography or Photo Story,Award of Excellence,THE CIA’S AFGHAN DEATH SQUADS 
The Intercept,Format: Use of Photography or Photo Story,Award of Excellence,TAKE YOUR FREEDOM 
The New York Times,Format: Use of Photography or Photo Story,Award of Excellence,How Black Lives Matter Reached Every Corner of America 
The New York Times,Format: Use of Photography or Photo Story,Award of Excellence,Bird’s Eye View of Protests Across the U.S. and Around the World 
The Washington Post,Format: Use of Photography or Photo Story,Award of Excellence,Election 2020: 96 anxious hours in America 
The Washington Post,Format: Use of Photography or Photo Story,Award of Excellence,Going it alone in two of America’s agricultural towns
The Washington Post,Format: Use of Photography or Photo Story,Award of Excellence,Young photographers: Twelve young photographers share their stories about how the events of 2020 have shaped them 
DR,Format: Use of Animation,Award of Excellence,The most deadly weapon in the world: How the nuclear bomb works
DR,Format: Use of Animation,Award of Excellence,Cut out of cardboard: This is how coronavirus is transmitted
ESPN,Format: Use of Animation,Award of Excellence,Belichick Sweatshirts  
Globoesporte.com,Format: Use of Animation,Award of Excellence,Tyson´s lullaby
Helsingin Sanomat,Format: Use of Animation,Award of Excellence,You Have Been Filed
NRC MEDIA,Format: Use of Animation,Award of Excellence,Mail-in votes US elections
NRC MEDIA,Format: Use of Animation,Award of Excellence,Climate Change - global warming
Radio-Canada,Format: Use of Animation,Award of Excellence,Who has died from COVID-19 in Canada?
Reuters,Format: Use of Animation,Award of Excellence,Vaccine bootcamp
The New York Times,Format: Use of Animation,Award of Excellence,This 3-D Simulation Shows Why Social Distancing Is So Important
The New York Times,Format: Use of Animation,Award of Excellence,How the Virus Got Out
The New York Times,Format: Use of Animation,Award of Excellence,How the Iowa Caucuses Work
The New York Times,Format: Use of Animation,Award of Excellence,Quarantine Soundscapes
The New York Times,Format: Use of Animation,Award of Excellence,How the Virus Won
The New York Times,Format: Use of Animation,Award of Excellence,‘An Anvil Sitting on My Chest’: What It’s Like to Have Covid-19
The Sacramento Bee/McClatchy,Format: Use of Animation,Award of Excellence,Halloween in 2020 - A different kind of scary
The Telegraph,Format: Use of Animation,Award of Excellence,So you're in a Pandemic...
The Telegraph,Format: Use of Animation,Award of Excellence,"Leukaemia: what is it, how to spot the warning signs and who is at risk?"
The Washington Post,Format: Use of Animation,Award of Excellence,Together Alone at the Zoom Funeral
United Daily News,Format: Use of Animation,Award of Excellence,Herstory
Gannett,Format: Augmented/Virtual Reality storytelling,Award of Excellence,Champions of Suffrage  
Gannett,Format: Augmented/Virtual Reality storytelling,Award of Excellence,Champions of Suffrage  
The New York Times,Format: Augmented/Virtual Reality storytelling,Award of Excellence,This 3-D Simulation Shows Why Social Distancing Is So Important
University of Southern California,Format: Augmented/Virtual Reality storytelling,Award of Excellence,COVID Shopping Spree Instagram Filter
Zhejiang Daily Press Group,Format: Augmented/Virtual Reality storytelling,Award of Excellence,Traditional Paintings of the Chinese New Year 2020 of Zhejiang 丨The second day of a lunar month: Love is always an original aspiration.
Zhejiang Daily Press Group,Format: Augmented/Virtual Reality storytelling,Award of Excellence,Traditional Paintings of the Chinese New Year 2020 of Zhejiang 丨The forth day of a lunar month: Colorful life is an invariable tone.
Zhejiang Daily Press Group,Format: Augmented/Virtual Reality storytelling,Award of Excellence,Traditional Paintings of the Chinese New Year 2020 of Zhejiang 丨Chinese new year's eve: Reunion is a eternal taste.
Zhejiang Daily Press Group,Format: Augmented/Virtual Reality storytelling,Award of Excellence,Traditional Paintings of the Chinese New Year 2020 of Zhejiang 丨Lunar New Year's Day: Welcoming the new is an unchanging tradition.
Zhejiang Daily Press Group,Format: Augmented/Virtual Reality storytelling,Award of Excellence,Traditional Paintings of the Chinese New Year 2020 of Zhejiang 丨The sixth day of a lunar month: Chasing dream is a constant direction.
Zhejiang Daily Press Group,Format: Augmented/Virtual Reality storytelling,Award of Excellence,Traditional Paintings of the Chinese New Year 2020 of Zhejiang 丨The fifth day of a lunar month: novelty is an unchanging trend.
Zhejiang Daily Press Group,Format: Augmented/Virtual Reality storytelling,Award of Excellence,Traditional Paintings of the Chinese New Year 2020 of Zhejiang 丨The third day of a lunar month: Friendly relations is a constant greeting.
FiveThirtyEight,Format: Use of Maps,Award of Excellence,Testing Access
Kontinentalist,Format: Use of Maps,Award of Excellence,"A River Drained: Fish, Rice and Food Security in the Mekong"
ProPublica,Format: Use of Maps,Award of Excellence,New Climate Maps Show a Transformed United States
Reuters,Format: Use of Maps,Award of Excellence,Air attack
Reuters,Format: Use of Maps,Award of Excellence,Shifting smoke
The New York Times,Format: Use of Maps,Award of Excellence,Presidential Election Results: Biden Wins
The New York Times,Format: Use of Maps,Award of Excellence,How the Virus Won
The New York Times,Format: Use of Maps,Award of Excellence,Watch How the Coronavirus Spread Across the United States
The New York Times,Format: Use of Maps,Award of Excellence,Coronavirus in the U.S.: Latest Map and Case Count
The New York Times,Format: Use of Maps,Award of Excellence,U.S. Virus Cases Climb Toward a Third Peak
The Washington Post,Format: Use of Maps,Award of Excellence,The political winds in the U.S. are swirling
The Washington Post,Format: Use of Maps,Award of Excellence,Safe passages
ABC News (Australia),Format: Use of Data,Award of Excellence,"[Far from care
](https://www.abc.net.au/news/2020-12-08/covid-mental-health-system-medicare-inequality/12512378)"
ESPN,Format: Use of Data,Award of Excellence,Grade ‘A’ NBA Mock Draft
High Country News,Format: Use of Data,Award of Excellence,Land-Grab Universities
Los Angeles Times,Format: Use of Data,Award of Excellence,The worse fire season ever. Again.
NPR,Format: Use of Data,Award of Excellence,Map: Tracking The Spread Of The Coronavirus In The U.S.
ProPublica,Format: Use of Data,Award of Excellence,Tracking Federal Purchases to Fight the Coronavirus
Radio-Canada	,Format: Use of Data,Award of Excellence,The Economic Impact of COVID-19 in Canada
Reuters,Format: Use of Data,Award of Excellence,Reuters Covid-19 global tracker
San Francisco Chronicle,Format: Use of Data,Award of Excellence,	Coronavirus/Reopening/Vaccine Tracker
Star Tribune,Format: Use of Data,Award of Excellence,Tracking coronavirus in Minnesota
The Arkansas Democrat-Gazette	,Format: Use of Data,Award of Excellence,Arkansas coronavirus tracker
The Marshall Project,Format: Use of Data,Award of Excellence,Superpredator: The Media Myth That Demonized a Generation of Black Youth
The New York Times	,Format: Use of Data,Award of Excellence,Trump Wants to ‘Reopen America.’ Here’s What Happens if We Do.
The New York Times	,Format: Use of Data,Award of Excellence,Find Your Place in the Vaccine Line
The Texas Tribune	,Format: Use of Data,Award of Excellence,Texas coronavirus cases: Latest updates
The Washington Post	,Format: Use of Data,Award of Excellence,"[How turnout and swing voters could get Trump or Biden to 270
](https://www.washingtonpost.com/graphics/2020/politics/voter-turnout-270-trump-biden/)"
The Washington Post	,Format: Use of Data,Award of Excellence,"A vaccine, or a spike in deaths: How America can build herd immunity to the coronavirus"
Toronto Star	,Format: Use of Data,Award of Excellence,Where is Canada in the fight against COVID-19? Use this dashboard for the latest numbers from each province
de Volkskrant,Format: Social Media Design,Award of Excellence,"Descent matters, a lifetime"
Gannett,Format: Social Media Design,Award of Excellence,ACCUSED: The Mysterious Death of David Bocks
Pew Research Center,Format: Social Media Design,Award of Excellence,Election 2020
POLITICO,Format: Social Media Design,Award of Excellence,"Sex, Lies and Prenups: Donald Trump’s Timeless Wisdom on Love"
Rest of World,Format: Social Media Design,Award of Excellence,Stat of the day
Reuters,Format: Social Media Design,Award of Excellence,The race gap
University of Southern California,Format: Social Media Design,Award of Excellence,COVID Shopping Spree Instagram Filter
WHYNOT (Radio Free Asia),Format: Digital Magazine,Award of Excellence,歪脑|WHYNOT
Reuters,Line of Coverage: Breaking News,Award of Excellence,Australia bushfires coverage
La Nación,Line of Coverage: U.S. Presidential Election,Award of Excellence,2020 U.S presidential elections
Neue Zürcher Zeitung,Line of Coverage: U.S. Presidential Election,Award of Excellence,Covering the US Elections for a Non-US Audience
Reuters,Line of Coverage: U.S. Presidential Election,Award of Excellence,U.S. election coverage
The Marshall Project,Line of Coverage: U.S. Presidential Election,Award of Excellence,The Politics of People Behind Bars
The New York Times,Line of Coverage: U.S. Presidential Election,Award of Excellence,U.S. Presidential Election - Voting Issues
The New York Times,Line of Coverage: U.S. Presidential Election,Award of Excellence,U.S. Presidential Election - 2020 Primaries
The New York Times,Line of Coverage: U.S. Presidential Election,Award of Excellence,Video Investigation Team Election Line of Coverage
The Washington Post,Line of Coverage: U.S. Presidential Election,Award of Excellence,Political Geography
The Washington Post,Line of Coverage: U.S. Presidential Election,Award of Excellence,Washington Post Election Storytelling
ABC News (Australia),Line of Coverage: Coronavirus,Award of Excellence,The fight against the coronavirus
CGTN,Line of Coverage: Coronavirus,Award of Excellence,Super Virus Quartet 
Radio-Canada,Line of Coverage: Coronavirus,Award of Excellence,Coronavirus: Showing what's invisible
Reuters,Line of Coverage: Coronavirus,Award of Excellence,The first month of coronavirus (breaking news)
The New York Times,Line of Coverage: Coronavirus,Award of Excellence,Coronavirus - U.S. Spread
The Telegraph,Line of Coverage: Coronavirus,Award of Excellence,Covering the Coronavirus pandemic
The Washington Post,Line of Coverage: Coronavirus,Award of Excellence,Deciphering the genetic code of coronavirus
The Washington Post,Line of Coverage: Coronavirus,Award of Excellence,Explaining coronavirus
Star Tribune,Line of Coverage: Protests,Award of Excellence,Star Tribune George Floyd coverage
The Washington Post,Line of Coverage: Protests,Award of Excellence,George Floyd's death and summer protests
Bloomberg,Line of Coverage: Climate Change,Award of Excellence,Bloomberg News Coverage of Climate Change
ProPublica,Line of Coverage: Climate Change,Award of Excellence,New Climate Maps Show a Transformed United States
ProPublica,Line of Coverage: Climate Change,Award of Excellence,Hawaii’s Beaches Are Disappearing
The New York Times,Line of Coverage: Climate Change,Award of Excellence,Climate
UNC-Chapel Hill Hussman School of Journalism,Line of Coverage: Climate Change,Award of Excellence,Barriers
POLITIKEN,Line of Coverage: Long-form Series,Award of Excellence,The Scandinavian Star – The Fire
PUBLICSOURCE,Line of Coverage: Long-form Series,Award of Excellence,The True Cost of Court Debt
Reuters,Line of Coverage: Long-form Series,Award of Excellence,Shielded
The Washington Post,Line of Coverage: Long-form Series,Award of Excellence,Indifferent Justice
The Washington Post,Line of Coverage: Long-form Series,Award of Excellence,Losing Control
Newhouse School at Syracuse University,Line of Coverage: Social Media,Award of Excellence,The 61% Project
